Hosp.právní forma,Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Obecně prospěšná společnost,Techmania Science Center o.p.s.,571.90001401
Obecně prospěšná společnost,"IQLANDIA, o.p.s.",406.79435775
Obecně prospěšná společnost,"Energeia, o.p.s.",254.27122
Obecně prospěšná společnost,"Člověk v tísni, o.p.s.",244.38262243999998
Obecně prospěšná společnost,"Muzeum a společenské centrum Dobrovice, o.p.s.",162.95215238
Obecně prospěšná společnost,"Centrála cestovního ruchu Východní Moravy, o.p.s.",135.85384266
Obecně prospěšná společnost,OSTROV ZDRAVÍ o.p.s.,127.94485743
Nadace,",, Nadace Josefa Viewegha Sklářská huť František """,127.051259
Nadace,"Nadace Partnerství (v mezinárodním styku ""Czech Environmental Partnership Foundation - CEPF)",91.59897619
Obecně prospěšná společnost,"Vyšší odborná škola DAKOL a Střední škola DAKOL, o.p.s.",84.97533947
Obecně prospěšná společnost,ČISTÁ PŘÍRODA VÝCHODNÍCH ČECH o.p.s.,69.61656201000001
Obecně prospěšná společnost,bfz o.p.s.,65.98164713
Obecně prospěšná společnost,"Attavena, o.p.s.",61.50887243
Obecně prospěšná společnost,"Kvalifikační a personální agentura, o. p. s.",60.31038471
Obecně prospěšná společnost,"Zámek Nový Světlov Bojkovice, o.p.s.",59.669152
Obecně prospěšná společnost,Královéhradecká labská o.p.s.,56.463270630000004
Obecně prospěšná společnost,"Vysoká škola finanční a správní, o.p.s.",52.03345257
Obecně prospěšná společnost,"Renarkon, o. p. s.",51.29251160000001
Obecně prospěšná společnost,"Slavonická renesanční, obecně prospěšná společnost",51.10750381999999
Obecně prospěšná společnost,"Baculus, o.p.s.",50.5024878
Obecně prospěšná společnost,"Vysoká škola evropských a regionálních studií, o.p.s.",45.101340660000005
Nadace,Nadace Tomistoma,44.44541022
Obecně prospěšná společnost,"Národní vzdělávací fond, o.p.s.",44.43210431
Obecně prospěšná společnost,Obecně prospěšná společnost Důstojnost,44.42708193
Obecně prospěšná společnost,"Šumárník, o.p.s.",43.38147285
Obecně prospěšná společnost,"Krajské centrum dalšího profesního vzdělávání a Centrum uznávání a celoživotního učení Zlínského kraje, o.p.s.",41.3727141
Obecně prospěšná společnost,"Centrum pro integraci osob se zdravotním postižením Královehradeckého kraje, o.p.s.",40.665330579999996
Obecně prospěšná společnost,"Základní škola pro žáky se specifickými poruchami učení a mateřská škola logopedická  Schola - Viva, o.p.s.",39.813327990000005
Obecně prospěšná společnost,Revitalizace KUKS o.p.s.,39.42311287
Obecně prospěšná společnost,DŮM ROMSKÉ KULTURY o.p.s.,39.00252466
Obecně prospěšná společnost,CMC Graduate School of Business o.p.s.,38.66750619
Obecně prospěšná společnost,"Magdaléna, o.p.s.",37.24289194999999
Obecně prospěšná společnost,VŠEI o.p.s.,35.65516463
Obecně prospěšná společnost,"SEDUKON,  o.p.s.",35.06162427
Obecně prospěšná společnost,Ekocentrum Oldřichov v Hájích o.p.s.,33.40589941
Obecně prospěšná společnost,"Erudis, o.p.s.",32.60541052000001
Nadace,Nadační fond Campianus,32.337100039999996
Obecně prospěšná společnost,Modrý klíč o.p.s.,32.179335280000004
Obecně prospěšná společnost,"Moravská vysoká škola Olomouc, o.p.s.",31.54921095
Obecně prospěšná společnost,Azylový dům pro ženy a matky s dětmi o.p.s.,31.2931956
Obecně prospěšná společnost,"Naučné středisko ekologické výchovy Kladno - Čabárna, o.p.s.",30.614256150000003
Obecně prospěšná společnost,Centrum podpory podnikání Praha,29.049788259999996
Obecně prospěšná společnost,"Stanice Pavlov, o.p.s.",28.89820457
Obecně prospěšná společnost,"Naděje - M, o.p.s.",28.33244926
Obecně prospěšná společnost,"ZOOPARK STĚŽERY, o.p.s.",28.29775842
Obecně prospěšná společnost,"Chaloupky o.p.s., školská zařízení pro zájmové a další vzdělávání",27.182299399999998
Obecně prospěšná společnost,"Nová škola, o.p.s.",25.73986743
Obecně prospěšná společnost,"Vyšší odborná škola, Obchodní akademie, Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky EKONOM, o.p.s., Litoměřice, Palackého 730/1",25.643394190000002
Obecně prospěšná společnost,"Jablonecké kulturní a informační centrum, o.p.s.",25.412277829999997
Obecně prospěšná společnost,"Sluňákov - centrum ekologických aktivit města Olomouce, o.p.s.",25.19096218
Obecně prospěšná společnost,"Polovina nebe, o.p.s.",24.62591169
Obecně prospěšná společnost,"Akademie HK PK, o.p.s.",24.560518759999997
Obecně prospěšná společnost,REVITA CZ o.p.s.,24.370878589999997
Obecně prospěšná společnost,"HUMANITAS-PROFES, o.p.s.",24.24363966
Obecně prospěšná společnost,"Gender studies, o.p.s.",23.653721979999997
Obecně prospěšná společnost,"Park Rochus, o.p.s.",23.58806516
Nadace,Nadační fond Vincenze Priessnitze,23.47498331
Obecně prospěšná společnost,"PORG - gymnázium a základní škola, o.p.s.",23.47001822
Obecně prospěšná společnost,"Základní škola a Praktická škola SVÍTÁNÍ, o.p.s.",23.038395870000002
Obecně prospěšná společnost,"Vysoká škola zdravotnická, o.p.s.",22.62313043
Obecně prospěšná společnost,"BRAILCOM,o.p.s.",22.439101
Obecně prospěšná společnost,Občanské sdružení MARTIN při OU pro žáky s více vadami,22.29821162
Nadační fond,Nadační fond Muzeum Rabštejn nad Střelou,22.243284510000002
Obecně prospěšná společnost,"Centrum pro rozvoj a podporu regionů, o.p.s.",22.23159489
Obecně prospěšná společnost,"APPN, o.p.s.",21.80287658
Obecně prospěšná společnost,"Střední škola a Mateřská škola, o.p.s.",21.34020645
Obecně prospěšná společnost,Kudlovské ateliéry o.p.s.,21.16370093
Obecně prospěšná společnost,A Kluby České republiky o.p.s.,21.09312642
Obecně prospěšná společnost,Rozlet o.p.s.,21.02926571
Obecně prospěšná společnost,"VZDĚLÁVACÍ CENTRUM TURNOV, o.p.s.",21.01464404
Obecně prospěšná společnost,"IREAS, Institut pro strukturální politiku, o.p.s.",20.993929870000006
Obecně prospěšná společnost,"Lázeňská kolonáda Luhačovice, o.p.s.",20.02542112
Obecně prospěšná společnost,"Tichý svět - chráněná pracoviště, o.p.s.",19.89252454
Obecně prospěšná společnost,OMNI TEMPORE o.p.s.,19.20016386
Obecně prospěšná společnost,"Vzdělávací institut ochrany dětí, o.p.s.",19.1198755
Obecně prospěšná společnost,"Sdružení Podané ruce, o.s.",18.74894647
Obecně prospěšná společnost,Linea verde o.p.s.,18.38014162
Obecně prospěšná společnost,GLE o.p.s.,17.98070624
Obecně prospěšná společnost,"Centrum podpory transformace, o.p.s.",17.611563770000004
Obecně prospěšná společnost,"Společnost pro Jizerské hory, o.p.s.",17.578335869999997
Obecně prospěšná společnost,Základní škola Bernarda Bolzana obecně prospěšná společnost,17.54949259
Obecně prospěšná společnost,"Gymnázium Rájec-Jestřebí, obecně prospěšná společnost",17.38465455
Obecně prospěšná společnost,"VALDEK, o.p.s.",17.112798379999997
Obecně prospěšná společnost,"Praktická škola Chotěšice, o.p.s.",17.0625987
Obecně prospěšná společnost,"Partnerství,o.p.s.",16.920601440000002
Nadace,NADACE ARDEA,16.80438473
Obecně prospěšná společnost,"Helpion, o.p.s.",16.70843191
Obecně prospěšná společnost,"MCU KOLOSEUM, o.p.s.",16.43781054
Obecně prospěšná společnost,České Švýcarsko o.p.s.,16.38134015
Obecně prospěšná společnost,"Vysoká škola sociálně správní, Institut celoživotního vzdělávání Havířov o.p.s.",16.13890241
Obecně prospěšná společnost,"META, o.p.s. - Společnost pro příležitosti mladých migrantů",15.430752799999999
Obecně prospěšná společnost,Jihočeská agentura pro podporu inovačního podnikání o.p.s.,15.22661808
Obecně prospěšná společnost,"Zlatý pruh Polabí,o.p.s.",15.21034797
Obecně prospěšná společnost,Aktivně životem o.p.s.,14.90647555
Obecně prospěšná společnost,"SPOLEČNOST TADY A TEĎ, o.p.s.",14.64164995
Obecně prospěšná společnost,"PROJEKT INTEGRACE, o.p.s.",14.55341905
Obecně prospěšná společnost,"Ústav pro ekopolitiku, o.p.s.",14.501647799999997
Obecně prospěšná společnost,"Metropolitní univerzita Praha, o.p.s.",14.239762769999999
Obecně prospěšná společnost,"""Obnova biotopu rybníků v Čechách a na Moravě, o.p.s.""",14.109106220000001
Obecně prospěšná společnost,"Step by Step Česká republika, občanské sdružení",14.09326208
Obecně prospěšná společnost,"Startujeme, o.p.s.",13.754340599999999
Obecně prospěšná společnost,"Trenkwalder, o.p.s.",13.592489530000002
Obecně prospěšná společnost,"JURTA, o.p.s.",12.951355849999999
Obecně prospěšná společnost,"Mateřská škola - Liberecká jazyková školka, o.p.s.",12.92825425
Obecně prospěšná společnost,"Nová ekonomika, o.p.s.",12.814919
Obecně prospěšná společnost,"IdeaHELP, o.p.s.",12.80828784
Obecně prospěšná společnost,"Regionální rozvojová agentura Plzeňského kraje, obecně prospěšná společnost",12.61005759
Obecně prospěšná společnost,"Vzdělávací a rekreační centrum Lesná, o.p.s.",12.608988879999998
Obecně prospěšná společnost,"P3 - People, Planet, Profit, o.p.s.",12.570762440000001
Obecně prospěšná společnost,"Centrum Paraple, o.p.s.",12.539023649999999
Obecně prospěšná společnost,Vítej ... o.p.s.,12.517865890000001
Obecně prospěšná společnost,MAS Sokolovsko o.p.s.,12.20696078
Obecně prospěšná společnost,LIGA o. p. s.,11.996859940000002
Obecně prospěšná společnost,"Centrum sociálních služeb Ostrava, o.p.s.",11.995797149999998
Obecně prospěšná společnost,"Základní škola Sedmikráska, o.p.s.",11.985075559999999
Obecně prospěšná společnost,"Horská služba ČR, o.p.s.",11.828259440000002
Obecně prospěšná společnost,"Koordinační a informační středisko pro osoby se zdravotním postižením a seniory, o.p.s.",11.629456100000002
Obecně prospěšná společnost,Český západ o.p.s.,11.588071289999998
Obecně prospěšná společnost,"MUZEJNÍ SPOLEK ROLLEDER-ODRY, o.p.s.",11.536044969999999
Obecně prospěšná společnost,"Klub K2, o.p.s.",11.441625460000001
Obecně prospěšná společnost,CEDR Pardubice o.p.s.,11.41511464
Obecně prospěšná společnost,TECHNOLOGICKÉ CENTRUM Hradec Králové o.p.s.,11.36249952
Obecně prospěšná společnost,Jihočeská rozvojová o.p.s.,11.347938460000002
Obecně prospěšná společnost,"Středisko prevence a léčby drogových závislostí - DROP IN, o.p.s.",11.34047225
Obecně prospěšná společnost,CENTRUM celoživotního vzdělávání Jezerka o.p.s.,11.27498492
Obecně prospěšná společnost,Romodrom o.p.s.,11.253424039999999
Obecně prospěšná společnost,THEIA - OBČANSKÉ SDRUŽENÍ,11.17454611
Obecně prospěšná společnost,"Respekt institut, o.p.s.",11.118827099999999
Obecně prospěšná společnost,"VOLONTÉ CZECH, o.p.s.",11.02993119
Obecně prospěšná společnost,"Králický Sněžník, o.p.s.",11.01909607
Obecně prospěšná společnost,Rytmus o.s.,10.97705734
Obecně prospěšná společnost,"Technologický park Chomutov, o.p.s.",10.70359764
Obecně prospěšná společnost,MOŽNOSTI TU JSOU o.p.s.,10.60954287
Nadace,Nadace českého kubismu,10.58628564
Obecně prospěšná společnost,"Střední škola MESIT, o.p.s.",10.45414083
Nadační fond,Nadační fond J&T,10.354355600000002
Obecně prospěšná společnost,Zámecký park Koryčany o.p.s,10.272188609999999
Obecně prospěšná společnost,AHOL - Vyšší odborná škola o.p.s.,10.18095158
Obecně prospěšná společnost,"Pro rodinu - rodinné a vzdělávací centrum, mateřská škola a základní škola, o.p.s.",10.180838690000002
Obecně prospěšná společnost,Občanské sdružení Prostor,10.10937199
Obecně prospěšná společnost,"Contact Line, o.p.s.",10.017089440000001
Obecně prospěšná společnost,"Institut rozvoje evropských regionů, o.p.s.",9.84768932
Obecně prospěšná společnost,Společnost Vlasty Buriana o.p.s.,9.82317983
Obecně prospěšná společnost,"TyfloCentrum Brno, o.p.s",9.75021917
Obecně prospěšná společnost,"Rytmus Benešov, o.p.s.",9.693810599999999
Obecně prospěšná společnost,"Úhlava, o.p.s.",9.65407964
Obecně prospěšná společnost,"Terra nostra - malebný kraj, o. p. s.",9.491276
Obecně prospěšná společnost,"TyfloCentrum Jihlava, o.p.s.",9.451014820000001
Obecně prospěšná společnost,Sociální agentura,9.439238930000002
Nadace,NADACE CESTA,9.409664970000001
Obecně prospěšná společnost,Brdy - Vltava o.p.s.,9.07656801
Obecně prospěšná společnost,"Informační centrum občanského sektoru Český Krumlov, o.s.",9.07206954
Obecně prospěšná společnost,GI projekt o.p.s.,9.05755635
Obecně prospěšná společnost,"ACADEMIA IREAS, o.p.s.",9.04753749
Obecně prospěšná společnost,"Destinační management turistické oblasti Beskydy-Valašsko, o.p.s.",9.017261710000001
Obecně prospěšná společnost,"InHelp, o.p.s.",8.97851024
Obecně prospěšná společnost,Nemocnice Sušice o.p.s.,8.96663643
Obecně prospěšná společnost,"SKOK do života, o.p.s.",8.7181154
Obecně prospěšná společnost,Carlsbader Gate o.p.s.,8.675105559999999
Obecně prospěšná společnost,"Dolmen, o.p.s. Agentura pro chráněné bydlení",8.42934591
Obecně prospěšná společnost,"ENVIRA, o. p. s.",8.30953217
Obecně prospěšná společnost,"Šance na vzdělání, o.p.s.",8.300929069999999
Obecně prospěšná společnost,"Vysoká škola ekonomie a managementu, o.p.s.",8.25498707
Obecně prospěšná společnost,"Astrid, o.p.s.",8.24545737
Obecně prospěšná společnost,Vzdělávací a komunitní centrum Integra Vsetín o.p.s.,8.182348039999999
Obecně prospěšná společnost,"Centrum ALMA, o.p.s.",8.16646136
Obecně prospěšná společnost,"Mensa gymnázium, o.p.s.",8.1338902
Obecně prospěšná společnost,MAS Nad Prahou o.p.s.,8.06937767
Obecně prospěšná společnost,"SPONDEA, o.p.s.",8.03666416
Obecně prospěšná společnost,"Ústav sociálních inovací, o.p.s.",7.96463607
Obecně prospěšná společnost,Elrond o.s.,7.924250560000001
Obecně prospěšná společnost,Oáza klidu o.p.s.,7.92240662
Obecně prospěšná společnost,"Pestrá společnost, o.p.s.",7.828319930000001
Obecně prospěšná společnost,"I. Německé zemské gymnasium, základní škola a mateřská škola, o. p. s.",7.8154864
Obecně prospěšná společnost,"TyfloCentrum Olomouc, o.p.s.",7.81209383
Obecně prospěšná společnost,"Valašsko, o.p.s.",7.767199150000001
Obecně prospěšná společnost,EKO GYMNÁZIUM BRNO o.p.s.,7.73202076
Obecně prospěšná společnost,"Via Lucis Praha,  o.p.s.",7.72574347
Obecně prospěšná společnost,"Denní centrum Barevný svět, o.p.s.",7.72328038
Obecně prospěšná společnost,"Západomoravská vysoká škola Třebíč, o.p.s.",7.715619569999999
Obecně prospěšná společnost,Computer Agency o.p.s.,7.71228717
Obecně prospěšná společnost,"TyfloCentrum Pardubice, o.p.s.",7.668168860000001
Obecně prospěšná společnost,"KONÍČEK, občanské sdružení",7.662396370000001
Obecně prospěšná společnost,Venkovský prostor o.p.s.,7.6167045600000005
Obecně prospěšná společnost,Jako doma - Homelike,7.60070929
Obecně prospěšná společnost,"SPC Pramínek,  o.p.s.",7.59148008
Obecně prospěšná společnost,Asociace TRIGON,7.46669999
Obecně prospěšná společnost,Vysoká škola logistiky o.p.s.,7.44986204
Nadace,Nadace pro rozvoj architektury a stavitelství,7.44831294
Obecně prospěšná společnost,"Metodické a evaluační centrum, o.p.s.",7.4406034199999995
Obecně prospěšná společnost,LEADER ACADEMY o.p.s.,7.35547515
Obecně prospěšná společnost,Občanské sdružení Borůvka,7.30547869
Obecně prospěšná společnost,Občanské sdružení Vzájemné soužití,7.29609979
Obecně prospěšná společnost,"Rytmus-Chrudim, o.p.s.",7.2653881600000005
Obecně prospěšná společnost,"Cukrárna Vesmírna, o.p.s.",7.237449300000001
Obecně prospěšná společnost,"Centrum mentoringu, o.p.s.",7.23013432
Obecně prospěšná společnost,"Informační centrum Praha 5, o.p.s.",7.181546030000001
Obecně prospěšná společnost,"Informační středisko Mikuláš, o.p.s.",7.15772564
Obecně prospěšná společnost,"""Pastorační středisko o.p.s.""",7.05980513
Obecně prospěšná společnost,"Liberix, o.p.s.",6.96355704
Obecně prospěšná společnost,"Smetanova Litomyšl, o.p.s.",6.94454
Obecně prospěšná společnost,"Prosperita, o.p.s.",6.93848982
Obecně prospěšná společnost,TyfloCentrum Hradec Králové o.p.s.,6.75771295
Obecně prospěšná společnost,"Základní škola Pastelka, o.p.s.",6.733548
Obecně prospěšná společnost,"Centrum pro integraci cizinců, o.p.s.",6.56647125
Obecně prospěšná společnost,"Domov Sue Ryder, o.p.s.",6.4955189
Obecně prospěšná společnost,KRUŠNOHORSKÁ ŘEMESLA o.p.s.,6.44702274
Obecně prospěšná společnost,"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",6.34161256
Obecně prospěšná společnost,TyfloCentrum Praha  o.p.s.,6.25454189
Obecně prospěšná společnost,"Bílý nosorožec, o.p.s.",6.22794771
Obecně prospěšná společnost,Institut pro regionální spolupráci,6.16994083
Obecně prospěšná společnost,"Otevřená společnost, o.p.s.",6.1627123500000005
Obecně prospěšná společnost,"Vzdělávací, sociální a kulturní středisko při Nadaci Jana Pivečky, o.p.s.",6.162124019999999
Obecně prospěšná společnost,"Alternativa 50+, o.p.s.",6.14668887
Obecně prospěšná společnost,"Socln, o.p.s.",6.11760671
Obecně prospěšná společnost,Suchopýr o.p.s.,6.05303768
Obecně prospěšná společnost,Via Roseta o.p.s.,6.0370703
Obecně prospěšná společnost,"MAS Uničovsko, o.p.s.",5.9726146799999995
Obecně prospěšná společnost,Posázaví o.p.s.,5.9649236299999995
Obecně prospěšná společnost,"Partners Czech, o.p.s.",5.838551109999999
Obecně prospěšná společnost,Nymburská o.p.s.,5.83835994
Obecně prospěšná společnost,4PEOPLE ASSOCIATION o.p.s.,5.689334400000001
Obecně prospěšná společnost,"Národní vinařské centrum, o.p.s.",5.64029357
Nadace,Nadace rozvoje občanské společnosti,5.563888769999999
Nadace,Nadace dřevo pro život,5.56249622
Obecně prospěšná společnost,"SOUŽITÍ 2005, o.p.s.",5.549924
Obecně prospěšná společnost,"FIGURKA, o.p.s.",5.53820253
Obecně prospěšná společnost,"Agentura Osmý den, o.p.s.",5.50553129
Obecně prospěšná společnost,"Energetická agentura Zlínského kraje, o.p.s.",5.49060881
Obecně prospěšná společnost,"Burma Center Prague, o.p.s.",5.465968719999999
Obecně prospěšná společnost,"Centrum ekonomického vzdělávání Ostrava, o.p.s.",5.45728612
Obecně prospěšná společnost,"Vesněnka, o.p.s.",5.43648995
Obecně prospěšná společnost,"Educa International, o.p.s.",5.3781776
Obecně prospěšná společnost,Všude dobře o.p.s.,5.37489901
Obecně prospěšná společnost,"Soukromá vyšší odborná škola sociální, o.p.s.",5.343826679999999
Obecně prospěšná společnost,Letohradské soukromé gymnázium o.p.s.,5.312772150000001
Obecně prospěšná společnost,Geopark Český ráj o.p.s.,5.2909090800000005
Obecně prospěšná společnost,"CEVRO Institut, o.p.s.",5.22921096
Obecně prospěšná společnost,Geopark Ralsko o.p.s.,5.218957690000001
Obecně prospěšná společnost,"Jihočeské zemědělské muzeum, o.p.s.",5.11964138
Obecně prospěšná společnost,"Centrum protidrogové prevence a terapie, o.p.s.",5.109599029999999
Obecně prospěšná společnost,"Hubbardova akademie administrativy Brno, o.p.s",5.08042346
