Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Techmania Science Center o.p.s.,571.90001401
Kanonie premonstrátů Teplá,496.98366383999996
Římskokatolická farnost Velehrad,407.67244998
"IQLANDIA, o.p.s.",406.79435775
Federace židovských obcí v České republice,284.80919336
"Energeia, o.p.s.",254.27122
"Člověk v tísni, o.p.s.",244.38262243999998
Benediktinské opatství sv. Václava v Broumově,195.607654
"Muzeum a společenské centrum Dobrovice, o.p.s.",162.95215238
"Centrála cestovního ruchu Východní Moravy, o.p.s.",135.85384266
Diecézní charita Brno,130.29004014
OSTROV ZDRAVÍ o.p.s.,127.94485743
",, Nadace Josefa Viewegha Sklářská huť František """,127.051259
Oblastní charita Červený Kostelec,94.51510223999999
"Nadace Partnerství (v mezinárodním styku ""Czech Environmental Partnership Foundation - CEPF)",91.59897619
"Vyšší odborná škola DAKOL a Střední škola DAKOL, o.p.s.",84.97533947
Benediktinské arciopatství sv. Vojtěcha a sv. Markéty v Praze - Břevnově,76.1958518
ČISTÁ PŘÍRODA VÝCHODNÍCH ČECH o.p.s.,69.61656201000001
bfz o.p.s.,65.98164713
"Attavena, o.p.s.",61.50887243
"Kvalifikační a personální agentura, o. p. s.",60.31038471
"Zámek Nový Světlov Bojkovice, o.p.s.",59.669152
Oblastní charita Most,57.66413714
Královéhradecká labská o.p.s.,56.463270630000004
"Vysoká škola finanční a správní, o.p.s.",52.03345257
Charita Olomouc,51.39532457
"Renarkon, o. p. s.",51.29251160000001
"Slavonická renesanční, obecně prospěšná společnost",51.10750381999999
"Baculus, o.p.s.",50.5024878
Diecézní Charita Plzeň,48.30249379999999
"Vysoká škola evropských a regionálních studií, o.p.s.",45.101340660000005
Nadace Tomistoma,44.44541022
"Národní vzdělávací fond, o.p.s.",44.43210431
Obecně prospěšná společnost Důstojnost,44.42708193
Slezská diakonie,43.92553299
"Šumárník, o.p.s.",43.38147285
Kanonie premonstrátů v Želivě,43.181466549999996
"Krajské centrum dalšího profesního vzdělávání a Centrum uznávání a celoživotního učení Zlínského kraje, o.p.s.",41.3727141
Římskokatolická farnost - děkanství Polná,41.1931016
"Centrum pro integraci osob se zdravotním postižením Královehradeckého kraje, o.p.s.",40.665330579999996
Salesiánská provincie Praha,40.20703469
"Základní škola pro žáky se specifickými poruchami učení a mateřská škola logopedická  Schola - Viva, o.p.s.",39.813327990000005
Revitalizace KUKS o.p.s.,39.42311287
DŮM ROMSKÉ KULTURY o.p.s.,39.00252466
CMC Graduate School of Business o.p.s.,38.66750619
Diakonie ČCE - středisko v Myslibořicích,38.33894178
"Magdaléna, o.p.s.",37.24289194999999
VŠEI o.p.s.,35.65516463
"SEDUKON,  o.p.s.",35.06162427
Benediktinské opatství Rajhrad,34.54304175
Biskupství plzeňské,34.37783757
Ekocentrum Oldřichov v Hájích o.p.s.,33.40589941
Římskokatolická farnost Ostrava - Moravská Ostrava,33.3489715
"Erudis, o.p.s.",32.60541052000001
Nadační fond Campianus,32.337100039999996
Modrý klíč o.p.s.,32.179335280000004
Diakonie ČCE - středisko Vsetín,31.84914578
"Moravská vysoká škola Olomouc, o.p.s.",31.54921095
Diakonie Českobratrské církve evangelické,31.36180383
Azylový dům pro ženy a matky s dětmi o.p.s.,31.2931956
Charita Prostějov,31.07752524
Farní charita Starý Knín,30.933511420000002
"Naučné středisko ekologické výchovy Kladno - Čabárna, o.p.s.",30.614256150000003
Centrum podpory podnikání Praha,29.049788259999996
"Stanice Pavlov, o.p.s.",28.89820457
"Naděje - M, o.p.s.",28.33244926
"ZOOPARK STĚŽERY, o.p.s.",28.29775842
"Chaloupky o.p.s., školská zařízení pro zájmové a další vzdělávání",27.182299399999998
Charita Frýdek - Místek,25.975623600000002
Arcibiskupství olomoucké,25.890241
"Nová škola, o.p.s.",25.73986743
"Vyšší odborná škola, Obchodní akademie, Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky EKONOM, o.p.s., Litoměřice, Palackého 730/1",25.643394190000002
"Jablonecké kulturní a informační centrum, o.p.s.",25.412277829999997
"Sluňákov - centrum ekologických aktivit města Olomouce, o.p.s.",25.19096218
"Polovina nebe, o.p.s.",24.62591169
"Akademie HK PK, o.p.s.",24.560518759999997
REVITA CZ o.p.s.,24.370878589999997
"HUMANITAS-PROFES, o.p.s.",24.24363966
"Gender studies, o.p.s.",23.653721979999997
"Park Rochus, o.p.s.",23.58806516
Nadační fond Vincenze Priessnitze,23.47498331
"PORG - gymnázium a základní škola, o.p.s.",23.47001822
Farní charita Beroun,23.045238100000002
"Základní škola a Praktická škola SVÍTÁNÍ, o.p.s.",23.038395870000002
"Vysoká škola zdravotnická, o.p.s.",22.62313043
"BRAILCOM,o.p.s.",22.439101
Občanské sdružení MARTIN při OU pro žáky s více vadami,22.29821162
Nadační fond Muzeum Rabštejn nad Střelou,22.243284510000002
"Centrum pro rozvoj a podporu regionů, o.p.s.",22.23159489
Římskokatolická farnost Frýdek,21.99667321
"APPN, o.p.s.",21.80287658
Oblastní charita Uherské Hradiště,21.39027595
"Římskokatolická farnost - děkanství u kostela sv. Mikuláše, České Budějovice 1",21.355193420000003
"Střední škola a Mateřská škola, o.p.s.",21.34020645
Kudlovské ateliéry o.p.s.,21.16370093
A Kluby České republiky o.p.s.,21.09312642
Rozlet o.p.s.,21.02926571
"VZDĚLÁVACÍ CENTRUM TURNOV, o.p.s.",21.01464404
"IREAS, Institut pro strukturální politiku, o.p.s.",20.993929870000006
"Lázeňská kolonáda Luhačovice, o.p.s.",20.02542112
"Tichý svět - chráněná pracoviště, o.p.s.",19.89252454
Oblastní charita Kutná Hora,19.47544059
OMNI TEMPORE o.p.s.,19.20016386
Římskokatolická farnost Veselí nad Lužnicí,19.13333182
"Vzdělávací institut ochrany dětí, o.p.s.",19.1198755
Diakonie ČCE - středisko BETLÉM,18.96331676
Centrum pro rodinu a sociální péči,18.788490149999998
"Sdružení Podané ruce, o.s.",18.74894647
Židovská obec Brno,18.547574280000003
Linea verde o.p.s.,18.38014162
GLE o.p.s.,17.98070624
Středisko křesťanské pomoci Plzeň,17.96410543
Opatství Nový Dvůr,17.727714489999997
"Centrum podpory transformace, o.p.s.",17.611563770000004
"Společnost pro Jizerské hory, o.p.s.",17.578335869999997
Římskokatolická farnost Dolní Dobrouč,17.56475738
Základní škola Bernarda Bolzana obecně prospěšná společnost,17.54949259
Královská kanonie premonstrátů na Strahově,17.397654969999998
"Gymnázium Rájec-Jestřebí, obecně prospěšná společnost",17.38465455
"VALDEK, o.p.s.",17.112798379999997
"Praktická škola Chotěšice, o.p.s.",17.0625987
"Partnerství,o.p.s.",16.920601440000002
Diecézní charita ostravsko-opavská,16.89922568
NADACE ARDEA,16.80438473
Římskokatolická farnost Jablunkov,16.71423555
"Helpion, o.p.s.",16.70843191
"MCU KOLOSEUM, o.p.s.",16.43781054
Římskokatolická farnost Klatovy,16.43219829
České Švýcarsko o.p.s.,16.38134015
"Vysoká škola sociálně správní, Institut celoživotního vzdělávání Havířov o.p.s.",16.13890241
"META, o.p.s. - Společnost pro příležitosti mladých migrantů",15.430752799999999
Jihočeská agentura pro podporu inovačního podnikání o.p.s.,15.22661808
Římskokatolická farnost Karviná,15.22261007
"Zlatý pruh Polabí,o.p.s.",15.21034797
Diakonie ČCE - středisko Západní Čechy,15.10204224
Římskokatolická farnost Žihobce,14.933265449999999
Aktivně životem o.p.s.,14.90647555
Diakonie ČCE - středisko v Brně,14.72741463
"SPOLEČNOST TADY A TEĎ, o.p.s.",14.64164995
"PROJEKT INTEGRACE, o.p.s.",14.55341905
"Ústav pro ekopolitiku, o.p.s.",14.501647799999997
Oblastní charita Havlíčkův Brod,14.28631141
"Metropolitní univerzita Praha, o.p.s.",14.239762769999999
"""Obnova biotopu rybníků v Čechách a na Moravě, o.p.s.""",14.109106220000001
"Step by Step Česká republika, občanské sdružení",14.09326208
Farní charita Litoměřice,14.00095241
Biskupství litoměřické,13.777816
"Startujeme, o.p.s.",13.754340599999999
"Trenkwalder, o.p.s.",13.592489530000002
České sdružení Církve adventistů sedmého dne,13.582226460000001
Diakonie ČCE - Středisko křesťanské pomoci v Litoměřicích,13.473182849999999
Římskokatolická farnost Prachatice,13.26027478
Farní charita Kralupy nad Vltavou,13.18488947
"JURTA, o.p.s.",12.951355849999999
"Mateřská škola - Liberecká jazyková školka, o.p.s.",12.92825425
"Římskokatolická farnost u kostela sv. Jana Nepomuckého, České Budějovice 1",12.88975988
"Nová ekonomika, o.p.s.",12.814919
"IdeaHELP, o.p.s.",12.80828784
"Regionální rozvojová agentura Plzeňského kraje, obecně prospěšná společnost",12.61005759
"Vzdělávací a rekreační centrum Lesná, o.p.s.",12.608988879999998
Římskokatolická farnost - arciděkanství Nepomuk,12.583720210000001
"P3 - People, Planet, Profit, o.p.s.",12.570762440000001
"Centrum Paraple, o.p.s.",12.539023649999999
Vítej ... o.p.s.,12.517865890000001
MAS Sokolovsko o.p.s.,12.20696078
LIGA o. p. s.,11.996859940000002
"Centrum sociálních služeb Ostrava, o.p.s.",11.995797149999998
"Základní škola Sedmikráska, o.p.s.",11.985075559999999
Charita Ostrava,11.94334025
"Horská služba ČR, o.p.s.",11.828259440000002
"Koordinační a informační středisko pro osoby se zdravotním postižením a seniory, o.p.s.",11.629456100000002
Český západ o.p.s.,11.588071289999998
"MUZEJNÍ SPOLEK ROLLEDER-ODRY, o.p.s.",11.536044969999999
"Klub K2, o.p.s.",11.441625460000001
CEDR Pardubice o.p.s.,11.41511464
TECHNOLOGICKÉ CENTRUM Hradec Králové o.p.s.,11.36249952
Jihočeská rozvojová o.p.s.,11.347938460000002
"Středisko prevence a léčby drogových závislostí - DROP IN, o.p.s.",11.34047225
CENTRUM celoživotního vzdělávání Jezerka o.p.s.,11.27498492
Romodrom o.p.s.,11.253424039999999
THEIA - OBČANSKÉ SDRUŽENÍ,11.17454611
Středisko křesťanské pomoci Horní Počernice,11.14958729
"Respekt institut, o.p.s.",11.118827099999999
"VOLONTÉ CZECH, o.p.s.",11.02993119
"Králický Sněžník, o.p.s.",11.01909607
Rytmus o.s.,10.97705734
Arcidiecézní charita Olomouc,10.874302729999998
"Technologický park Chomutov, o.p.s.",10.70359764
MOŽNOSTI TU JSOU o.p.s.,10.60954287
Nadace českého kubismu,10.58628564
"Střední škola MESIT, o.p.s.",10.45414083
Nadační fond J&T,10.354355600000002
Zámecký park Koryčany o.p.s,10.272188609999999
Římskokatolická farnost Týn nad Vltavou,10.25659082
AHOL - Vyšší odborná škola o.p.s.,10.18095158
"Pro rodinu - rodinné a vzdělávací centrum, mateřská škola a základní škola, o.p.s.",10.180838690000002
Občanské sdružení Prostor,10.10937199
"Contact Line, o.p.s.",10.017089440000001
"Institut rozvoje evropských regionů, o.p.s.",9.84768932
Společnost Vlasty Buriana o.p.s.,9.82317983
Charita sv. Alexandra,9.81165808
Diakonie ČCE - středisko Světlo ve Vrchlabí,9.76885501
Diakonie ČCE - středisko ve Valašském Meziříčí,9.757149949999999
"TyfloCentrum Brno, o.p.s",9.75021917
"Rytmus Benešov, o.p.s.",9.693810599999999
"Úhlava, o.p.s.",9.65407964
Oblastní charita Kroměříž,9.604491490000001
"Terra nostra - malebný kraj, o. p. s.",9.491276
"TyfloCentrum Jihlava, o.p.s.",9.451014820000001
Sociální agentura,9.439238930000002
NADACE CESTA,9.409664970000001
Římskokatolická farnost Šenov u Ostravy,9.34916891
Brdy - Vltava o.p.s.,9.07656801
"Informační centrum občanského sektoru Český Krumlov, o.s.",9.07206954
GI projekt o.p.s.,9.05755635
"ACADEMIA IREAS, o.p.s.",9.04753749
Národní centrum pro rodinu,9.019901030000002
"Destinační management turistické oblasti Beskydy-Valašsko, o.p.s.",9.017261710000001
"InHelp, o.p.s.",8.97851024
Nemocnice Sušice o.p.s.,8.96663643
Římskokatolická farnost Orlová,8.928577890000001
Římskokatolická farnost Krnov - Kostelec,8.88005598
Římskokatolická farnost Liberec - Ruprechtice,8.80013815
"SKOK do života, o.p.s.",8.7181154
Farní sbor Slezské církve evangelické a. v. v Jablunkově - Návsí,8.68393024
Carlsbader Gate o.p.s.,8.675105559999999
Římskokatolická farnost Dobrá Voda (u Nových Hradů),8.65794725
Kanonie premonstrátů v Nové Říši,8.49049273
Diakonie ČCE - středisko v Plzni,8.472899879999998
Římskokatolická farnost Krnov,8.438953099999999
"Dolmen, o.p.s. Agentura pro chráněné bydlení",8.42934591
Oblastní charita Vyškov,8.31218395
"ENVIRA, o. p. s.",8.30953217
"Šance na vzdělání, o.p.s.",8.300929069999999
Římskokatolická farnost Cheb,8.26790644
"Vysoká škola ekonomie a managementu, o.p.s.",8.25498707
"Astrid, o.p.s.",8.24545737
Římskokatolická farnost Vítkov,8.24336885
Římskokatolická farnost Luže,8.214621
Římskokatolická farnost - děkanství Liberec - Rochlice,8.19502043
Vzdělávací a komunitní centrum Integra Vsetín o.p.s.,8.182348039999999
"Centrum ALMA, o.p.s.",8.16646136
"Mensa gymnázium, o.p.s.",8.1338902
Arcibiskupství pražské,8.07052001
MAS Nad Prahou o.p.s.,8.06937767
Městská Charita Plzeň,8.05578744
Farní sbor Slezské církve evangelické a. v. v Třinci,8.04783325
"SPONDEA, o.p.s.",8.03666416
Biskupství českobudějovické,7.97030659
"Ústav sociálních inovací, o.p.s.",7.96463607
Elrond o.s.,7.924250560000001
Oáza klidu o.p.s.,7.92240662
Římskokatolická farnost Rychaltice,7.9098618
Charita Zábřeh,7.884301
"Pestrá společnost, o.p.s.",7.828319930000001
"I. Německé zemské gymnasium, základní škola a mateřská škola, o. p. s.",7.8154864
"TyfloCentrum Olomouc, o.p.s.",7.81209383
"Valašsko, o.p.s.",7.767199150000001
EKO GYMNÁZIUM BRNO o.p.s.,7.73202076
"Via Lucis Praha,  o.p.s.",7.72574347
"Denní centrum Barevný svět, o.p.s.",7.72328038
"Západomoravská vysoká škola Třebíč, o.p.s.",7.715619569999999
Computer Agency o.p.s.,7.71228717
"TyfloCentrum Pardubice, o.p.s.",7.668168860000001
"KONÍČEK, občanské sdružení",7.662396370000001
Venkovský prostor o.p.s.,7.6167045600000005
Jako doma - Homelike,7.60070929
"SPC Pramínek,  o.p.s.",7.59148008
Římskokatolická farnost Radíčeves,7.54428328
Biskupství brněnské,7.4743749600000005
Asociace TRIGON,7.46669999
Vysoká škola logistiky o.p.s.,7.44986204
Nadace pro rozvoj architektury a stavitelství,7.44831294
"Metodické a evaluační centrum, o.p.s.",7.4406034199999995
LEADER ACADEMY o.p.s.,7.35547515
Občanské sdružení Borůvka,7.30547869
Občanské sdružení Vzájemné soužití,7.29609979
Konvent Hospitálského řádu sv. Jana z Boha - Milosrdných bratří v Brně,7.274508
"Rytmus-Chrudim, o.p.s.",7.2653881600000005
"Cukrárna Vesmírna, o.p.s.",7.237449300000001
Římskokatolická farnost Švihov,7.2353976200000005
"Centrum mentoringu, o.p.s.",7.23013432
Římskokatolická farnost - arciděkanství Liberec,7.227892570000001
Řeholní dům Kongregace Naše Paní milosrdenství Dobrého Pastýře,7.21722953
Sbor Jednoty bratrské v Novém Městě pod Smrkem,7.21405911
"Informační centrum Praha 5, o.p.s.",7.181546030000001
"Informační středisko Mikuláš, o.p.s.",7.15772564
"""Pastorační středisko o.p.s.""",7.05980513
Oblastní charita Pardubice,6.99220709
"Liberix, o.p.s.",6.96355704
"Smetanova Litomyšl, o.p.s.",6.94454
"Prosperita, o.p.s.",6.93848982
Římskokatolická farnost Sedliště,6.926429850000001
Římskokatolická farnost Domažlice,6.829192519999999
TyfloCentrum Hradec Králové o.p.s.,6.75771295
"Základní škola Pastelka, o.p.s.",6.733548
"Centrum pro integraci cizinců, o.p.s.",6.56647125
"Domov Sue Ryder, o.p.s.",6.4955189
KRUŠNOHORSKÁ ŘEMESLA o.p.s.,6.44702274
Oblastní Charita Rokycany,6.37114573
"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",6.34161256
Římskokatolická farnost Otaslavice,6.313208
Římskokatolická farnost Hlučín,6.31098031
TyfloCentrum Praha  o.p.s.,6.25454189
"Bílý nosorožec, o.p.s.",6.22794771
Římskokatolická farnost Hať,6.20081886
Českobratrská církev evangelická,6.178163
Institut pro regionální spolupráci,6.16994083
"Otevřená společnost, o.p.s.",6.1627123500000005
"Vzdělávací, sociální a kulturní středisko při Nadaci Jana Pivečky, o.p.s.",6.162124019999999
"Alternativa 50+, o.p.s.",6.14668887
"Socln, o.p.s.",6.11760671
Suchopýr o.p.s.,6.05303768
Via Roseta o.p.s.,6.0370703
"MAS Uničovsko, o.p.s.",5.9726146799999995
Posázaví o.p.s.,5.9649236299999995
"Partners Czech, o.p.s.",5.838551109999999
Nymburská o.p.s.,5.83835994
Diakonie ČCE - středisko Rolnička,5.76892315
4PEOPLE ASSOCIATION o.p.s.,5.689334400000001
"Národní vinařské centrum, o.p.s.",5.64029357
Římskokatolická farnost Frenštát pod Radhoštěm,5.57656194
Nadace rozvoje občanské společnosti,5.563888769999999
Nadace dřevo pro život,5.56249622
"SOUŽITÍ 2005, o.p.s.",5.549924
"FIGURKA, o.p.s.",5.53820253
"Agentura Osmý den, o.p.s.",5.50553129
"Energetická agentura Zlínského kraje, o.p.s.",5.49060881
"Burma Center Prague, o.p.s.",5.465968719999999
"Centrum ekonomického vzdělávání Ostrava, o.p.s.",5.45728612
"Vesněnka, o.p.s.",5.43648995
"Educa International, o.p.s.",5.3781776
Všude dobře o.p.s.,5.37489901
Klášter Naší Paní nad Vltavou,5.3717669400000005
"Soukromá vyšší odborná škola sociální, o.p.s.",5.343826679999999
Římskokatolická farnost Domaslavice,5.3419754699999995
Letohradské soukromé gymnázium o.p.s.,5.312772150000001
Geopark Český ráj o.p.s.,5.2909090800000005
Římskokatolická farnost Zátor,5.26304455
Římskokatolická farnost Suchdol nad Odrou,5.237641
"CEVRO Institut, o.p.s.",5.22921096
Geopark Ralsko o.p.s.,5.218957690000001
Římskokatolická farnost - arciděkanství Mladá Boleslav,5.15322808
