NACE,Celkové zdroje,Smlouva,Proplaceno
Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.,10.646,8.222,7.567
Pronájem a správa vlastních nebo pronajatých nemovitostí,12.059,5.041,4.655
"Výroba surového železa, oceli a feroslitin, plochých výrobků (kromě pásky za studena), tváření výrobků za tepla",6.665,4.095,4.047
Ostatní výzkum a vývoj v oblasti přírodních a technických věd,6.025,3.602,3.509
Výroba elektřiny,10.682,3.022,2.976
Ostatní vzdělávání j. n.,3.5,2.796,2.57
Programování,6.063,2.718,2.528
Činnosti náboženských organizací,3.021,2.385,2.245
Výroba ostatních dílů a příslušenství pro motorová vozidla,5.929,2.211,1.942
Obrábění,4.991,2.121,1.992
Výroba kovových konstrukcí a jejich dílů,4.927,2.038,1.917
Provozování sportovních zařízení,4.414,2.035,1.932
"Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu",6.223,1.928,1.871
Ostatní poradenství v oblasti podnikání a řízení,3.076,1.894,1.777
Výroba nástrojů a nářadí,4.127,1.794,1.7
Výstavba bytových a nebytových budov,3.858,1.765,1.704
Činnosti ostatních organizací j. n.,2.001,1.626,1.502
Výroba ostatních kovodělných výrobků j. n.,3.866,1.608,1.54
"Tisk ostatní, kromě novin",3.633,1.605,1.547
"Výroba plastových desek, fólií, hadic, trubek a profilů",3.561,1.514,1.422
Výroba ostatních plastových výrobků,3.561,1.511,1.438
Hotely,3.283,1.254,1.199
"Výroba elektrických motorů, generátorů a transformátorů",3.289,1.243,1.118
Smíšené hospodářství,3.173,1.195,1.183
Ostatní ambulantní nebo terénní sociální služby j. n.,1.454,1.185,1.099
Výroba zdvihacích a manipulačních zařízení,2.836,1.152,1.077
Činnosti související se zpracováním dat a hostingem,1.924,1.064,0.985
Pronájem vlastních nebo pronajatých nemovitostí s nebytovými prostory,2.19,1.05,1.029
Výroba kovoobráběcích strojů,2.826,1.041,0.969
Činnosti profesních organizací,1.354,1.024,0.89
Poradenství v oblasti informačních technologií,2.239,1.023,0.974
Nespecializovaný velkoobchod,1.963,0.97,0.915
"Výroba ložisek, ozubených kol, převodů a hnacích prvků",2.508,0.969,0.942
"Shromažďování a sběr odpadů, kromě nebezpečných",2.009,0.964,0.923
Výroba plastových obalů,2.461,0.948,0.922
Ústavní zdravotní péče,2.379,0.906,0.841
Činnosti podnikatelských a zaměstnavatelských organizací,1.075,0.9,0.791
Výroba ostatních strojů pro speciální účely j. n.,2.119,0.899,0.76
"Činnosti organizací na ochranu a zlepšení postavení etnických, menšinových a jiných speciálních skupin",1.049,0.89,0.814
"Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení",2.16,0.89,0.86
Výroba ostatních výrobků stavebního truhlářství a tesařství,1.969,0.858,0.838
"Kování, lisování, ražení, válcování a protlačování kovů; prášková metalurgie",2.065,0.811,0.777
Výroba železničních lokomotiv a vozového parku,1.983,0.796,0.734
Jiné vzdělávání j. n.,0.982,0.788,0.721
"Výroba měřicích, zkušebních a navigačních přístrojů",2.067,0.788,0.735
Výroba pilařská a impregnace dřeva,1.917,0.778,0.757
Povrchová úprava a zušlechťování kovů,1.749,0.772,0.738
"Výroba vlnitého papíru a lepenky, papírových a lepenkových obalů",1.935,0.758,0.716
Výroba zámků a kování,1.808,0.747,0.694
Inženýrské činnosti a související technické poradenství,1.702,0.745,0.666
Výroba plastových výrobků pro stavebnictví,1.714,0.739,0.702
Činnosti muzeí,1.021,0.728,0.691
Výroba elektrických osvětlovacích zařízení,1.669,0.726,0.701
Výroba průmyslových chladicích a klimatizačních zařízení,1.947,0.714,0.66
Výroba betonových výrobků pro stavební účely,1.724,0.705,0.647
Výroba lékařských a dentálních nástrojů a potřeb,1.623,0.701,0.636
Městská a příměstská pozemní osobní doprava,1.773,0.698,0.668
"Úprava odpadů k dalšímu využití, kromě demontáže vraků, strojů a zařízení",1.637,0.697,0.679
Výroba ostatního nábytku,1.729,0.688,0.648
Výroba farmaceutických přípravků,1.644,0.684,0.655
Velkoobchod s ostatními stroji a zařízením,1.471,0.667,0.638
Instalace průmyslových strojů a zařízení,1.565,0.66,0.623
Výroba zemědělských a lesnických strojů,1.587,0.654,0.617
Střední odborné vzdělávání na středních odborných školách,0.839,0.642,0.606
Výroba hnojiv a dusíkatých sloučenin,2.318,0.637,0.624
"Stravování v restauracích, u stánků a v mobilních zařízeních",1.406,0.622,0.563
Činnosti v oblasti informačních technologií,1.207,0.61,0.59
"Výroba pekařských a cukrářských výrobků, kromě trvanlivých",1.448,0.598,0.577
"Výroba strojů pro těžbu, dobývání a stavebnictví",1.498,0.585,0.55
Výroba ostatních potrubních armatur,1.54,0.565,0.539
Výroba ostatních strojů a zařízení pro všeobecné účely j. n.,1.267,0.56,0.527
Silniční nákladní doprava,1.253,0.558,0.541
Ostatní zábavní a rekreační činnosti j. n.,1.108,0.549,0.498
Výstavba silnic a dálnic,1.133,0.534,0.493
Opravy strojů,1.309,0.529,0.508
Činnosti environmentálních a ekologických hnutí,0.689,0.524,0.506
"Ostatní profesní, vědecké a technické činnosti j. n.",0.812,0.516,0.483
Výroba elektrických rozvodných a kontrolních zařízení,1.195,0.515,0.429
Výroba barviv a pigmentů,1.661,0.514,0.51
Výroba tepla,1.778,0.511,0.407
Ostatní činnosti související se zdravotní péčí j. n.,0.851,0.505,0.464
Výroba piva,1.231,0.473,0.444
Terciární vzdělávání,0.58,0.468,0.433
Specializovaná ambulantní zdravotní péče,0.713,0.467,0.445
Výroba ostatních elektrických zařízení,1.003,0.465,0.419
Zprostředkování velkoobchodu a velkoobchod v zastoupení,0.887,0.463,0.447
Výroba dutého skla,1.38,0.463,0.443
Činnosti organizací dětí a mládeže,0.552,0.46,0.424
"Velkoobchod se dřevem, stavebními materiály a sanitárním vybavením",0.895,0.442,0.365
Architektonické a inženýrské činnosti a související technické poradenství,1.024,0.439,0.435
Výroba motorových vozidel a jejich motorů,1.064,0.439,0.414
Výroba odlitků z lehkých neželezných kovů,1.144,0.435,0.416
Výroba ostatních pryžových výrobků,1.01,0.432,0.389
Výroba kovových nádrží a zásobníků,0.981,0.429,0.36
Zprostředkovatelské činnosti realitních agentur,0.98,0.427,0.407
Činnosti lunaparků a zábavních parků,1.301,0.425,0.377
"Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami",0.937,0.42,0.401
Výroba ostatních výrobků z papíru a lepenky,0.954,0.419,0.4
Tkaní textilií,1.159,0.412,0.388
Podpůrné činnosti pro zemědělství a posklizňové činnosti,0.763,0.411,0.386
