IČO,Žadatel,Veřejná instituce,Celkové zdroje,Smlouva,Proplaceno
70994234,"Správa železniční dopravní cesty, státní organizace",True,120.17,82.67,62.14
65993390,Ředitelství silnic a dálnic ČR,True,117.87,74.45,69.27
00551023,Ministerstvo práce a sociálních věcí,True,27.58,23.45,17.19
70890692,Moravskoslezský kraj,True,14.13,10.92,8.95
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",True,24.94,10.52,10.0
00216224,Masarykova univerzita,True,13.22,9.62,9.18
00007064,Ministerstvo vnitra,True,9.59,7.84,6.59
72496991,Úřad práce České republiky,True,8.87,7.33,6.58
61989592,Univerzita Palackého v Olomouci,True,9.06,6.76,6.36
00022985,"Ministerstvo školství, mládeže a tělovýchovy",True,7.45,6.33,5.53
70891095,Středočeský kraj,True,7.55,6.14,4.86
70890749,Kraj Vysočina,True,8.81,6.02,5.26
68378271,"Fyzikální ústav AV ČR, v. v. i.",True,7.38,5.85,5.79
44848943,"Českomoravská záruční a rozvojová banka, a.s.",True,8.35,5.77,5.53
00216305,Vysoké učení technické v Brně,True,7.32,5.32,4.98
61989100,Vysoká škola báňská - Technická univerzita Ostrava,True,7.44,5.15,4.79
70932581,"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",True,5.8,4.91,3.57
70890650,Jihočeský kraj,True,5.28,4.44,3.82
70892156,Ústecký kraj,True,5.24,4.17,3.74
70892822,Pardubický kraj,True,5.11,4.16,3.81
70889546,Královéhradecký kraj,True,4.46,3.69,3.36
60609460,Olomoucký kraj,True,4.79,3.51,3.09
44992785,Statutární město Brno,True,6.66,3.41,2.86
66002222,Ministerstvo pro místní rozvoj,True,3.95,3.35,2.69
00845451,Statutární město Ostrava,True,4.59,3.28,2.73
49777513,Západočeská univerzita v Plzni,True,4.57,3.18,2.99
72053119,"Správa a údržba silnic Plzeňského kraje, příspěvková organizace",True,3.74,3.17,2.74
70994226,"České dráhy, a.s.",True,9.84,3.14,3.02
67981801,Ředitelství vodních cest ČR,True,3.72,2.99,2.5
70934860,"Ředitelství silnic Zlínského kraje,příspěvková organizace",True,3.21,2.59,2.35
70891508,Liberecký kraj,True,3.12,2.54,2.24
00216208,Univerzita Karlova v Praze,True,3.13,2.52,2.12
70888337,Jihomoravský kraj,True,3.12,2.49,2.24
00159816,Fakultní nemocnice u sv. Anny v Brně,True,5.06,2.32,2.14
68378050,"Ústav molekulární genetiky AV ČR, v. v. i.",True,3.27,2.3,2.17
00064581,HLAVNÍ MĚSTO PRAHA,True,2.75,2.2,1.91
18050646,"TŘINECKÉ ŽELEZÁRNY, a. s.",False,3.25,2.1,2.08
25508881,"Dopravní podnik města Brna,a.s.",True,2.95,1.92,1.22
00075370,Statutární město Plzeň,True,3.61,1.87,1.68
68407700,České vysoké učení technické v Praze,True,2.55,1.87,1.66
70891320,Zlínský kraj,True,2.76,1.84,1.66
70883521,Univerzita Tomáše Bati ve Zlíně,True,2.67,1.82,1.63
00020729,Státní fond životního prostředí České republiky,True,3.85,1.78,1.56
70947023,"Krajská správa a údržba silnic Karlovarského kraje, příspěvková organizace",True,2.13,1.73,1.63
26722445,Centrum výzkumu Řež s.r.o.,True,2.27,1.7,1.65
47609109,Ministerstvo průmyslu a obchodu,True,2.03,1.7,1.47
46747885,Technická univerzita v Liberci,True,2.26,1.68,1.49
00002739,"DIAMO, státní podnik",True,2.73,1.65,1.64
25488627,"Krajská zdravotní, a.s.",True,2.02,1.62,1.07
62156489,Mendelova univerzita v Brně,True,2.12,1.61,1.41
45193258,ArcelorMittal Ostrava a.s.,False,2.43,1.6,1.58
70891168,Karlovarský kraj,True,1.88,1.56,1.46
71377999,Agentura pro podporu podnikání a investic CzechInvest,True,1.81,1.54,0.89
00007536,"Palivový kombinát Ústí, státní podnik",True,2.18,1.47,1.4
00405698,Fond dalšího vzdělávání,True,1.66,1.41,1.2
00234516,Statutární město Kladno,True,2.0,1.4,1.18
00216275,Univerzita Pardubice,True,1.79,1.39,1.24
00261891,Statutární město Chomutov,True,2.31,1.37,1.26
49277600,ČESKÁ CENTRÁLA CESTOVNÍHO RUCHU,True,1.55,1.31,1.17
75032333,Národní památkový ústav,True,1.56,1.31,1.25
60076658,Jihočeská univerzita v Českých Budějovicích,True,1.67,1.3,1.19
00286010,Statutární město Jihlava,True,1.82,1.27,1.02
70890366,Plzeňský kraj,True,2.12,1.26,1.15
61974757,Dopravní podnik Ostrava a.s.,True,2.68,1.25,1.17
00297488,Statutární město Havířov,True,2.23,1.24,1.1
75125285,"Dolní oblast VÍTKOVICE, z.s.",False,1.67,1.18,1.1
47674954,"Vodohospodářská zařízení Šumperk, a.s.",True,1.97,1.13,1.01
45671745,Vodovody a kanalizace Znojemsko,True,1.89,1.06,1.02
00006947,Ministerstvo financí,True,1.25,1.06,0.82
00262978,STATUTÁRNÍ MĚSTO LIBEREC,True,1.35,1.06,0.98
75042860,Povodí Berounky,True,1.75,1.01,0.98
00081531,Statutární město Ústí nad Labem,True,1.39,1.0,0.88
70960399,"Správa silnic Olomouckého kraje, příspěvková organizace",True,1.2,0.98,0.89
66003008,Ministerstvo dopravy,True,1.13,0.96,0.76
60461373,Vysoká škola chemicko-technologická v Praze,True,1.18,0.95,0.89
00244732,Statutární město České Budějovice,True,1.51,0.93,0.76
00843989,Fakultní nemocnice Ostrava,True,1.15,0.92,0.72
45193410,"Veolia Energie ČR, a.s.",False,3.3,0.92,0.86
00164801,Ministerstvo životního prostředí,True,1.07,0.9,0.73
00253014,Město Tábor,True,1.26,0.89,0.84
75046962,Státní úřad inspekce práce,True,1.02,0.87,0.78
00001171,Česká agentura na podporu obchodu,True,1.0,0.85,0.77
00300535,Statutární město Opava,True,1.22,0.84,0.71
00299308,Statutární město Olomouc,True,1.63,0.83,0.73
26068877,"Nemocnice České Budějovice, a.s.",True,0.97,0.8,0.76
00024341,Ministerstvo zdravotnictví,True,0.94,0.79,0.55
70238880,Sdružení obcí Mikroregionu Vsetínsko,True,1.42,0.79,0.73
61988987,Ostravská univerzita v Ostravě,True,1.0,0.77,0.73
00179906,Fakultní nemocnice Hradec Králové,True,0.9,0.75,0.63
00023752,Národní ústav duševního zdraví,True,0.88,0.73,0.73
75082616,Regionální rada regionu soudržnosti Moravskoslezsko,True,0.91,0.73,0.62
60418885,VODOVODY A KANALIZACE,True,1.26,0.73,0.68
00297534,Statutární město Karviná,True,1.29,0.72,0.51
00669806,Fakultní nemocnice Plzeň,True,0.87,0.71,0.65
49458892,Svazek vodovodů a kanalizací Ivančice,True,1.25,0.7,0.69
00283924,Statutární město Zlín,True,1.18,0.69,0.66
00025593,Český statistický úřad,True,0.82,0.69,0.67
65269705,Fakultní nemocnice Brno,True,0.85,0.69,0.61
67179843,"Centrum výzkumu globální změny AV ČR, v. v. i.",True,1.13,0.69,0.65
75082136,Regionální rada regionu soudržnosti Severozápad,True,0.84,0.68,0.54
00025712,Český úřad zeměměřický a katastrální,True,0.83,0.67,0.65
46709002,"VÚTS, a.s.",False,0.95,0.66,0.66
00261238,Statutární město Děčín,True,0.93,0.66,0.6
49295934,Vodohospodářské sdružení Turnov,True,1.4,0.66,0.65
75082241,Regionální rada regionu soudržnosti Jihovýchod,True,0.77,0.65,0.56
28800621,"Elektrárny Opatovice, a.s.",False,1.97,0.63,0.58
00296643,Statutární město Frýdek-Místek,True,0.86,0.63,0.51
44555601,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,True,0.75,0.62,0.57
00251810,Město Strakonice,True,1.02,0.62,0.59
00268810,Statutární město Hradec Králové,True,1.15,0.62,0.58
00238295,Statutární město Mladá Boleslav,True,0.79,0.61,0.43
49455168,"Vodovody a kanalizace Břeclav, a.s.",True,1.04,0.61,0.58
25572245,Svaz VKMO s.r.o.,False,1.07,0.6,0.6
00098892,Fakultní nemocnice Olomouc,True,0.76,0.6,0.55
00254657,Statutární město Karlovy Vary,True,0.91,0.6,0.58
75082314,Regionální rada regionu soudržnosti Střední Čechy,True,0.7,0.6,0.45
00274046,Statutární město Pardubice,True,0.91,0.59,0.57
27283933,"Krajská nemocnice Liberec, a.s.",True,0.7,0.58,0.52
00299138,Město Litovel,True,0.79,0.57,0.55
00025798,Česká geologická služba,True,0.69,0.57,0.45
63113074,Svaz měst a obcí České republiky,False,0.66,0.56,0.56
75086999,Regionální rada regionu soudržnosti Jihozápad,True,0.67,0.56,0.48
27256537,"Oblastní nemocnice Kladno, a.s., nemocnice Středočeského kraje",True,0.75,0.56,0.53
00209805,Masarykův onkologický ústav,True,0.83,0.56,0.52
26396645,Techmania Science Center o.p.s.,False,0.79,0.55,0.49
00259586,Město Sokolov,True,0.76,0.55,0.53
62690094,Univerzita Hradec Králové,True,0.64,0.54,0.47
75082721,Regionální rada regionu soudržnosti Severovýchod,True,0.64,0.54,0.41
70856788,Státní fond rozvoje bydlení,True,0.61,0.52,0.52
00243132,Město Příbram,True,0.72,0.52,0.46
63839172,"CESNET, zájmové sdružení právnických osob",False,0.75,0.51,0.45
62243136,"Unipetrol výzkumně vzdělávací centrum, a.s.",False,0.78,0.5,0.5
25271121,VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,False,0.77,0.5,0.49
25945793,"TEPVOS, spol. s r.o.",True,0.84,0.49,0.47
75084911,Regionální rada regionu soudržnosti Střední Morava,True,0.58,0.48,0.4
00253979,Město Cheb,True,0.67,0.48,0.45
44994575,"Centrum dopravního výzkumu, v. v. i.",True,0.79,0.48,0.45
00263958,Město Litoměřice,True,0.69,0.48,0.47
49100262,"Lovochemie, a.s.",False,1.89,0.47,0.47
62933591,Agentura ochrany přírody a krajiny České republiky,True,0.55,0.47,0.39
65993870,Centrum pro regionální rozvoj ČR,True,0.55,0.47,0.39
47311975,"Dopravní podnik měst Liberce a Jablonce nad Nisou, a.s.",True,0.75,0.45,0.43
00290629,Město Třebíč,True,0.66,0.44,0.38
62157124,Veterinární a farmaceutická univerzita Brno,True,0.53,0.44,0.4
42196451,"Lesy České republiky, s.p.",True,0.66,0.43,0.4
00020699,Český hydrometeorologický ústav,True,0.55,0.43,0.42
00276944,Město Litomyšl,True,0.63,0.43,0.42
00479365,Kanonie premonstrátů Teplá,False,0.5,0.42,0.42
00298077,Město Kopřivnice,True,0.67,0.42,0.33
72045230,"Terezín - město změny, zájmové sdružení právnických osob",False,0.5,0.42,0.38
27661989,"Krajská nemocnice T. Bati, a. s.",True,0.6,0.42,0.4
68081731,"Ústav přístrojové techniky AV ČR, v. v. i.",True,0.58,0.42,0.41
26316919,COMTES FHT a.s.,False,0.62,0.42,0.4
00006963,Česká správa sociálního zabezpečení,True,0.53,0.42,0.33
00245836,Město Český Krumlov,True,0.51,0.41,0.24
46356967,"Vodohospodářská společnost Vrchlice - Maleč, a.s.",True,0.74,0.41,0.41
26365804,Karlovarská krajská nemocnice a.s.,True,0.49,0.41,0.28
75122979,"Multifunkční centrum zámek Lednice, zájmové sdružení právnických osob",False,0.48,0.41,0.39
00027162,"Výzkumný ústav veterinárního lékařství, v. v. i.",True,0.85,0.4,0.36
65497074,Svazek obcí údolí Desné,True,0.49,0.39,0.31
27660320,PrimeCell Therapeutics a.s.,False,0.78,0.39,0.38
60108916,"Synthesia, a.s.",False,1.37,0.39,0.39
25334271,"ŽS REAL, a.s.",False,1.23,0.39,0.34
00064203,Fakultní nemocnice v Motole,True,0.69,0.39,0.34
26827719,"Letiště Ostrava, a.s.",True,0.65,0.39,0.37
49468952,",,Svazek vodovodů a kanalizací"" měst a obcí",True,0.74,0.39,0.36
00025429,Ministerstvo spravedlnosti,True,0.46,0.39,0.29
28094468,"CGMC, družstvo",False,0.78,0.38,0.38
49787977,"CHEVAK Cheb, a.s.",True,0.77,0.38,0.35
60460709,Česká zemědělská univerzita v Praze,True,0.55,0.38,0.26
00297577,Město Orlová,True,0.56,0.38,0.33
47115726,"Energotrans, a.s.",True,1.14,0.38,0.21
25444565,"IQLANDIA, o.p.s.",False,0.48,0.38,0.35
43383513,Svaz vodovodů a kanalizací Žďársko,True,0.64,0.37,0.37
00265781,Město Žatec,True,0.52,0.37,0.36
00270211,Město Chrudim,True,0.59,0.36,0.32
46956484,Římskokatolická farnost Velehrad,False,0.43,0.36,0.35
00261912,Město Kadaň,True,0.57,0.36,0.35
00232947,Město Vlašim,True,0.56,0.36,0.35
27256391,"Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje",True,0.45,0.36,0.28
47813059,Slezská univerzita v Opavě,True,0.42,0.36,0.33
49766929,"Integrovaná střední škola technická a ekonomická Sokolov, příspěvková organizace",True,0.43,0.36,0.32
28522761,Bammer trade a.s.,False,1.05,0.36,0.36
60108631,"Vodovody a kanalizace Pardubice, a.s.",True,0.69,0.35,0.35
70845425,"Střední průmyslová škola Ostrov, příspěvková organizace",True,0.44,0.35,0.35
25877950,VÍTKOVICE HEAVY MACHINERY a.s.,False,0.83,0.35,0.35
27520536,"Nemocnice Pardubického kraje, a.s.",True,0.4,0.35,0.22
27085031,"Oblastní nemocnice Příbram, a.s.",True,0.43,0.35,0.33
00088455,Správa Krkonošského národního parku Vrchlabí,True,0.45,0.35,0.33
27128164,"RenoEnergie, a.s.",False,1.19,0.35,0.34
00301825,Statutární město Přerov,True,0.61,0.35,0.32
00297437,Město Český Těšín,True,0.47,0.34,0.33
61388971,"Mikrobiologický ústav AV ČR, v. v. i.",True,0.44,0.34,0.32
46356983,"Vodovody a kanalizace Mladá Boleslav, a.s.",True,0.77,0.34,0.3
00291471,Město Uherské Hradiště,True,0.56,0.34,0.3
00063797,Městská část Praha 8,True,0.54,0.34,0.3
49901982,Severočeské doly a.s.,True,0.92,0.34,0.33
00246875,Město Jindřichův Hradec,True,0.59,0.33,0.32
70890013,"Povodí Moravy, s.p.",True,0.49,0.33,0.28
28676092,MemBrain s.r.o.,False,0.44,0.33,0.33
